Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Total Fires
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2318 Campus Court,2318 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2326 Campus Court,2326 Campus Court,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1602 Cedar Crest,1602 Cedar Crest Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 2033 Cedar Crest,2033 Cedar Crest Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 420 College Dr.,420 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 684 College Dr.,684 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 689 College Dr.,689 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 691 College Dr.,691 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 695 College Dr.,695 College Dr.,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 798 EN 10th,798 EN 10th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 733 EN 11th,733 EN 11th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 834 EN 13th,834 EN 13th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 849 EN 13th,849 EN 13th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 834 EN 15th,834 EN 15th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 848 EN 15th,848 EN 15th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 858 EN 15th,858 EN 15th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 502 EN 16th,502 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 642 EN 16th,642 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 674 EN 16th,674 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 674 1/2 EN 16th,674  1/2  EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 690 EN 16th,690 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 696 EN 16th #A-F,696 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 696 EN 16th #G - H,696 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 841 EN 16th,841 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 843 EN 16th,843 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 845 EN 16th,845 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 847 EN 16th,847 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 849 EN 16th,849 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 851 EN 16th,851 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 857 EN 16th,857 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 859 EN 16th,859 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 861 EN 16th,861 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 863 EN 16th,863 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 610 EN 18th,610 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 625 EN 18th-Main,625 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 625 EN 18th #A & B,625 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 650 EN 18th,650 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 655 EN 18th,655 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 674 EN 18th,674 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 682 EN 18th #A,682 EN 18th #A,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 682 EN 18th #B,682 EN 18th #B,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 610 EN 19th,610 EN 19th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 642 EN 19th,642 EN 19th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 650 EN 19th,650 EN 19th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 525 EN 20th,525 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 541 EN 20th,541 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 650 EN 20th,650 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 657 EN 20th,657 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 665 EN 20th,665 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 573 EN 21st,573 EN 21st,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 666 EN 21st,666 EN 21st,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 886 N. Judge Ely,886 N. Judge Ely,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 888 N. Judge Ely,888 N. Judge Ely,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1001 Washington Blvd,1001 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1002 Washington Blvd,1002 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1102 Washington Blvd,1102 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1501 Washington Blvd,1501 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1517 Washington Blvd,1517 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1517  1/2 Washington Blvd,1517  1/2 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1525 Washington Blvd,1525 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1527 Washington Blvd,1527 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 625 EN 18th #E,625 EN 18th #E,0
2018,222178,Abilene Christian University,4,ACU Oxford,5204,Oxford Bldg 9,"#9 Canterbury Rd., Oxford UK",0
2018,222178,Abilene Christian University,4,ACU Oxford,5204,Oxford Bldg 10,"#10 Canterbury rd., Oxford, UK",0
2018,222178,Abilene Christian University,5,ACU-Leipzig,5204,Leipzig Villa,"52 Kathe-Kollwitz-Strasse, Leipzig, Germany",0
2018,222178,Abilene Christian University,6,ACU-Montevideo,5204,Montevideo-Contutti,"1137 Obligado, Montevideo, Uruguay",0
2018,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,4291,ABAC Place,100Faculty Dr,1
2018,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,4291,ABAC Lakeside,180 Farm Lane,2
2019,177834,A T Still University of Health Sciences,1,Missouri Campus,3857,Student Housing A,200 S. Osteopathy,0
2019,177834,A T Still University of Health Sciences,1,Missouri Campus,3857,Student Housing B,200 S. Osteopathy,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Barret Hall,1818 Campus Court,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Dillard Hall,633 EN 19th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Edwards Hall,1995 Campus Court,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Gardner Hall,930 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Mabee Hall,1885 Campus Court,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,McDonald Hall,790 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,McKinzie Hall,1750 Campus Center Rd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Morris Hall,2070 ACU Drive-North,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Nelson Hall,860 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Sikes Hall,990 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Smith-Adams Hall,1402 Cedar Crest Dr.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 2,2150 N. Judge Ely Blvd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 3,2150 N. Judge Ely Blvd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 4,2150 N. Judge Ely Blvd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 5,2150 N. Judge Ely Blvd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 6,2150 N. Judge Ely Blvd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 7,2150 N. Judge Ely Blvd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 8,2150 N. Judge Ely Blvd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 9,2150 N. Judge Ely Blvd.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,University Park Bldg 10,2150 N. Judge Ely Blvd,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 2118 Campus Court,2118 Campus Court,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 2226 Campus Court,2226 Campus Court,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 2310 Campus Court,2310 Campus Court,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 2318 Campus Court,2318 Campus Court,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 2326 Campus Court,2326 Campus Court,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 1602 Cedar Crest,1602 Cedar Crest Dr.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 2033 Cedar Crest,2033 Cedar Crest Dr.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 420 College Dr.,420 College Dr.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 684 College Dr.,684 College Dr.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 689 College Dr.,689 College Dr.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 691 College Dr.,691 College Dr.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 695 College Dr.,695 College Dr.,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 798 EN 10th,798 EN 10th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 733 EN 11th,733 EN 11th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 834 EN 13th,834 EN 13th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 849 EN 13th,849 EN 13th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 834 EN 15th,834 EN 15th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 848 EN 15th,848 EN 15th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 858 EN 15th,858 EN 15th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 502 EN 16th,502 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 642 EN 16th,642 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 674 EN 16th,674 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 674 1/2 EN 16th,674  1/2  EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 690 EN 16th,690 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 696 EN 16th #A-F,696 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 696 EN 16th #G - H,696 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 841 EN 16th,841 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 843 EN 16th,843 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 845 EN 16th,845 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 847 EN 16th,847 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 849 EN 16th,849 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 851 EN 16th,851 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 857 EN 16th,857 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 859 EN 16th,859 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 861 EN 16th,861 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 863 EN 16th,863 EN 16th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 610 EN 18th,610 EN 18th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 625 EN 18th-Main,625 EN 18th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 625 EN 18th #A & B,625 EN 18th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 650 EN 18th,650 EN 18th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 655 EN 18th,655 EN 18th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 674 EN 18th,674 EN 18th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 682 EN 18th #A,682 EN 18th #A,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 682 EN 18th #B,682 EN 18th #B,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 610 EN 19th,610 EN 19th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 642 EN 19th,642 EN 19th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 650 EN 19th,650 EN 19th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 525 EN 20th,525 EN 20th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 541 EN 20th,541 EN 20th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 650 EN 20th,650 EN 20th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 657 EN 20th,657 EN 20th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 665 EN 20th,665 EN 20th,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 573 EN 21st,573 EN 21st,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 666 EN 21st,666 EN 21st,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 1001 Washington Blvd,1001 Washington Blvd,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 1002 Washington Blvd,1002 Washington Blvd,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 1102 Washington Blvd,1102 Washington Blvd,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 1501 Washington Blvd,1501 Washington Blvd,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 1517 Washington Blvd,1517 Washington Blvd,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 1517  1/2 Washington Blvd,1517  1/2 Washington Blvd,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,Rental 625 EN 18th #E,625 EN 18th #E,0
2019,222178,Abilene Christian University,4,ACU Oxford,5292,Oxford Bldg 9,"#9 Canterbury Rd., Oxford UK",0
2019,222178,Abilene Christian University,4,ACU Oxford,5292,Oxford Bldg 10,"#10 Canterbury rd., Oxford, UK",0
2019,222178,Abilene Christian University,5,ACU-Leipzig,5292,Leipzig Villa,"52 Kathe-Kollwitz-Strasse, Leipzig, Germany",0
2019,222178,Abilene Christian University,6,ACU-Montevideo,5292,Montevideo-Contutti,"1137 Obligado, Montevideo, Uruguay",0
2019,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3927,ABAC Place,100Faculty Dr,1
2019,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3927,ABAC Lakeside,180 Farm Lane,2
