Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Total unfounded crimes
2014,177834,A T Still University of Health Sciences,1,Missouri Campus,3226,0
2014,177834,A T Still University of Health Sciences,2,Arizona Campus,3226,0
2014,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,291,0
2014,459523,ABC Beauty Academy,1,Main Campus,30,0
2014,461892,Abcott Institute,1,Main Campus,136,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,1
2014,222178,Abilene Christian University,2,ACU- City Square Dallas,4427,0
2014,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3458,0
2014,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,3458,0
2014,421896,Academia Serrant Inc,1,Ponce,355,0
2014,421896,Academia Serrant Inc,2,Sabana Grande,355,0
2015,177834,A T Still University of Health Sciences,1,Missouri Campus,3357,0
2015,177834,A T Still University of Health Sciences,2,Arizona Campus,3357,0
2015,177834,A T Still University of Health Sciences,3,Adelante Campus,3357,0
2015,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3357,0
2015,177834,A T Still University of Health Sciences,5,El Rio Campus,3357,0
2015,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3357,0
2015,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3357,0
2015,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3357,0
2015,177834,A T Still University of Health Sciences,9,North Country Campus,3357,0
2015,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3357,0
2015,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3357,0
2015,177834,A T Still University of Health Sciences,12,Unity Campus,3357,0
2015,177834,A T Still University of Health Sciences,13,Waianae Campus,3357,0
2015,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,219,0
2015,459523,ABC Beauty Academy,1,Main Campus,72,0
2015,461892,Abcott Institute,1,Main Campus,132,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,2
2015,222178,Abilene Christian University,2,ACU- City Square Dallas,4544,0
2015,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3393,0
2015,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,3393,0
2015,421896,Academia Serrant Inc,1,Ponce,513,0
2015,421896,Academia Serrant Inc,2,Sabana Grande,513,0
2016,177834,A T Still University of Health Sciences,1,Missouri Campus,3569,0
2016,177834,A T Still University of Health Sciences,2,Arizona Campus,3569,0
2016,177834,A T Still University of Health Sciences,3,Adelante Campus,3569,0
2016,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3569,0
2016,177834,A T Still University of Health Sciences,5,El Rio Campus,3569,0
2016,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3569,0
2016,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3569,0
2016,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3569,0
2016,177834,A T Still University of Health Sciences,9,North Country Campus,3569,0
2016,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3569,0
2016,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3569,0
2016,177834,A T Still University of Health Sciences,12,Unity Campus,3569,0
2016,177834,A T Still University of Health Sciences,13,Waianae Campus,3569,0
2016,177834,A T Still University of Health Sciences,14,Near North Campus,3569,0
2016,177834,A T Still University of Health Sciences,15,St. Louis Campus,3569,0
2016,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,149,0
2016,485500,ABCO Technology,1,Main Campus,28,0
2016,461892,Abcott Institute,1,Main Campus,94,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,0
2016,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3475,0
2016,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,3475,0
2016,488031,Abraham Lincoln University,1,Main Campus,164,0
2016,421896,Academia Serrant Inc,1,Ponce,409,0
2016,421896,Academia Serrant Inc,2,Sabana Grande,409,0
2017,177834,A T Still University of Health Sciences,1,Missouri Campus,3723,0
2017,177834,A T Still University of Health Sciences,2,Arizona Campus,3723,0
2017,177834,A T Still University of Health Sciences,3,Adelante Campus,3723,0
2017,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3723,0
2017,177834,A T Still University of Health Sciences,5,El Rio Campus,3723,0
2017,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3723,0
2017,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3723,0
2017,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3723,0
2017,177834,A T Still University of Health Sciences,9,North Country Campus,3723,0
2017,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3723,0
2017,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3723,0
2017,177834,A T Still University of Health Sciences,12,Unity Campus,3723,0
2017,177834,A T Still University of Health Sciences,13,Waianae Campus,3723,0
2017,177834,A T Still University of Health Sciences,14,Near North Campus,3723,0
2017,177834,A T Still University of Health Sciences,15,St. Louis Campus,3723,0
2017,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,122,0
2017,485500,ABCO Technology,1,Main Campus,50,0
2017,461892,Abcott Institute,1,Main Campus,151,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,0
2017,222178,Abilene Christian University,3,ACU-Dallas,5145,0
2017,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3394,0
2017,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,3394,0
2017,138558,Abraham Baldwin Agricultural College,3,Abraham Baldwin Agricultural College / Bainbridge Campus,3394,0
2017,138558,Abraham Baldwin Agricultural College,4,Midtown Campus,3394,0
2017,138558,Abraham Baldwin Agricultural College,5,Bainbridge State College Early County Campus,3394,0
2017,488031,Abraham Lincoln University,1,Main Campus,197,0
2017,421896,Academia Serrant Inc,1,Ponce,319,0
2017,421896,Academia Serrant Inc,2,Sabana Grande,319,0
2018,177834,A T Still University of Health Sciences,1,Missouri Campus,3717,0
2018,177834,A T Still University of Health Sciences,2,Arizona Campus,3717,0
2018,177834,A T Still University of Health Sciences,3,Adelante Campus,3717,0
2018,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3717,0
2018,177834,A T Still University of Health Sciences,5,El Rio Campus,3717,0
2018,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3717,0
2018,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3717,0
2018,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3717,0
2018,177834,A T Still University of Health Sciences,9,North Country Campus,3717,0
2018,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3717,0
2018,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3717,0
2018,177834,A T Still University of Health Sciences,12,Unity Campus,3717,0
2018,177834,A T Still University of Health Sciences,13,Waianae Campus,3717,0
2018,177834,A T Still University of Health Sciences,14,Near North Campus,3717,0
2018,177834,A T Still University of Health Sciences,15,St. Louis Campus,3717,0
2018,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,150,0
2018,491464,ABC Adult School,1,Main Campus,90,0
2018,459523,ABC Beauty Academy,1,Main Campus,33,0
2018,485500,ABCO Technology,1,Main Campus,65,0
2018,461892,Abcott Institute,1,Main Campus,60,1
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,1
2018,222178,Abilene Christian University,3,ACU-Dallas,5204,0
2018,222178,Abilene Christian University,4,ACU Oxford,5204,0
2018,222178,Abilene Christian University,5,ACU-Leipzig,5204,0
2018,222178,Abilene Christian University,6,ACU-Montevideo,5204,0
2018,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,4291,0
2018,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,4291,0
2018,138558,Abraham Baldwin Agricultural College,3,Abraham Baldwin Agricultural College / Bainbridge Campus,4291,0
2018,138558,Abraham Baldwin Agricultural College,4,Midtown Campus,4291,0
2018,138558,Abraham Baldwin Agricultural College,5,Bainbridge State College Early County Campus,4291,0
2018,488031,Abraham Lincoln University,1,Main Campus,217,0
2018,421896,Academia Serrant Inc,1,Ponce,290,0
2018,421896,Academia Serrant Inc,2,Sabana Grande,290,0
2019,177834,A T Still University of Health Sciences,1,Missouri Campus,3857,1
2019,177834,A T Still University of Health Sciences,2,Arizona Campus,3857,0
2019,177834,A T Still University of Health Sciences,3,Adelante Campus,3857,0
2019,177834,A T Still University of Health Sciences,4,Beaufort Jasper Hampton Campus,3857,0
2019,177834,A T Still University of Health Sciences,5,El Rio Campus,3857,0
2019,177834,A T Still University of Health Sciences,6,Family HealthCare Network Campus,3857,0
2019,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3857,0
2019,177834,A T Still University of Health Sciences,8,HealthSource of Ohio Campus,3857,0
2019,177834,A T Still University of Health Sciences,9,North Country Campus,3857,0
2019,177834,A T Still University of Health Sciences,10,Northwest Regional PCA Campus,3857,0
2019,177834,A T Still University of Health Sciences,11,Sunset Park Family Health Center at NYU Lagone,3857,0
2019,177834,A T Still University of Health Sciences,12,Unity Campus,3857,0
2019,177834,A T Still University of Health Sciences,13,Waianae Campus,3857,0
2019,177834,A T Still University of Health Sciences,14,Near North Campus,3857,0
2019,177834,A T Still University of Health Sciences,15,St. Louis Campus,3857,0
2019,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,131,0
2019,491464,ABC Adult School,1,Main Campus,77,0
2019,459523,ABC Beauty Academy,1,Main Campus,28,0
2019,485500,ABCO Technology,1,Main Campus,126,0
2019,461892,Abcott Institute,1,Main Campus,143,0
2019,222178,Abilene Christian University,1,ACU-Abilene,5292,1
2019,222178,Abilene Christian University,3,ACU-Dallas,5292,0
2019,222178,Abilene Christian University,4,ACU Oxford,5292,0
2019,222178,Abilene Christian University,5,ACU-Leipzig,5292,0
2019,222178,Abilene Christian University,6,ACU-Montevideo,5292,0
2019,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3927,1
2019,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,3927,0
2019,138558,Abraham Baldwin Agricultural College,3,Abraham Baldwin Agricultural College / Bainbridge Campus,3927,0
2019,138558,Abraham Baldwin Agricultural College,4,Midtown Campus,3927,0
2019,138558,Abraham Baldwin Agricultural College,5,Bainbridge State College Early County Campus,3927,0
2019,488031,Abraham Lincoln University,1,Main Campus,225,0
2019,421896,Academia Serrant Inc,1,Ponce,260,0
2019,421896,Academia Serrant Inc,2,Sabana Grande,260,0
